PIVlab, ASCII chart output - 03-Feb-2026
FRAME: 74, filenames: MEAN of frames 1:73 & MEAN of frames 1:73, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
469,507,2.816679955,9.713774681,1
469,523,3.04808712,9.458754539,1
469,539,4.183472633,9.247460365,1
469,555,3.882189035,8.198599815,1
469,571,4.21212101,7.521918774,1
469,587,NaN,NaN,2
469,603,NaN,NaN,2
469,619,5.83103466,7.451553345,1
469,635,NaN,NaN,0
469,651,NaN,NaN,0
469,667,NaN,NaN,0
469,683,NaN,NaN,0
469,699,NaN,NaN,0
469,715,NaN,NaN,0
469,731,NaN,NaN,0
469,747,NaN,NaN,0
469,763,NaN,NaN,0
485,91,NaN,NaN,0
485,107,NaN,NaN,0
485,123,NaN,NaN,0
485,139,NaN,NaN,0
485,155,NaN,NaN,0
485,171,NaN,NaN,0
485,187,-4.295539856,5.752415657,1
485,203,-4.271544456,5.751834869,1
485,219,-4.788039684,6.676621437,1
485,235,-4.979987621,8.410727501,1
485,251,-4.327356815,8.047840118,1
485,267,NaN,NaN,2
485,283,-5.936536312,13.60838985,2
485,299,-5.120612144,12.92093182,1
485,315,-4.199216366,13.36429882,1
485,331,-3.363597155,13.85387039,1
485,347,-2.675650358,13.88227749,1
485,363,-2.061583519,14.5556736,1
485,379,-1.061935067,14.59014511,1
485,395,-0.1846628338,14.93684483,1
485,411,0.6525076628,15.06269646,1
485,427,1.584735751,16.09820175,1
485,443,2.143160343,14.6074295,1
485,459,2.987872839,14.69328976,1
485,475,3.77342844,14.28745079,1
485,491,4.428854942,13.88919353,1
485,507,5.327534676,14.11014175,1
485,523,6.120239735,13.95233631,1
485,539,5.738686562,10.96849823,2
485,555,5.566699028,10.40893173,2
485,571,3.801276922,7.420768261,1
485,587,4.075156212,6.756805897,1
485,603,5.363321304,5.771903992,1
485,619,NaN,NaN,2
485,635,NaN,NaN,2
485,651,NaN,NaN,0
485,667,NaN,NaN,0
485,683,NaN,NaN,0
485,699,NaN,NaN,0
485,715,NaN,NaN,0
485,731,NaN,NaN,0
485,747,NaN,NaN,0
485,763,NaN,NaN,0
501,91,NaN,NaN,0
501,107,NaN,NaN,0
501,123,NaN,NaN,0
501,139,NaN,NaN,0
501,155,NaN,NaN,0
501,171,NaN,NaN,2
501,187,-4.53581953,5.302431107,1
501,203,-4.962330341,6.270798683,1
501,219,-4.835015297,6.413806438,1
501,235,-5.282570362,8.207029343,2
501,251,-6.424347401,10.96770096,2
501,267,-6.62835598,12.88572502,2
501,283,-5.880921364,12.66784382,1
501,299,-4.923489094,13.13763142,1
501,315,-4.132957935,12.92445755,1
501,331,-3.606346846,14.02312756,1
501,347,-2.742925406,13.78155518,1
501,363,-1.910747647,14.62876797,1
501,379,-1.250214815,14.73755169,1
501,395,-0.3296607137,14.46234131,1
501,411,0.6685598493,14.37100792,1
